ID	TAGSEQ
EffexorXR.Post1.Sentence1	O O
EffexorXR.Post1.Sentence2	O O O O O O O O O O O
EffexorXR.Post1.Sentence3	O O O B-AE I-AE I-AE O O O O O O O O
EffexorXR.Post1.Sentence4	O O O O O O O
EffexorXR.Post1.Sentence5	O B-AE I-AE I-AE O B-AE I-AE I-AE I-AE O
EffexorXR.Post1.Sentence6	O O B-AE I-AE I-AE I-AE I-AE O B-AE I-AE I-AE I-AE I-AE O O O
EffexorXR.Post1.Sentence7	O O O O O O O
EffexorXR.Post1.Sentence8	B-AE I-AE I-AE I-AE O
EffexorXR.Post1.Sentence9	O B-AE I-AE I-AE I-AE I-AE I-AE O O O B-AE I-AE I-AE O B-AE I-AE I-AE O
EffexorXR.Post1.Sentence10	O O O O O O O O O
EffexorXR.Post2.Sentence1	B-AE O B-AE O B-AE I-AE I-AE O B-AE I-AE I-AE I-AE I-AE I-AE I-AE I-AE O
EffexorXR.Post2.Sentence2	O O O O O O O O O O
EffexorXR.Post2.Sentence3	O O O O O
EffexorXR.Post2.Sentence4	O O O O O O O
EffexorXR.Post3.Sentence1	B-AE I-AE O B-AE I-AE O B-AE O O O O O O O O O O
EffexorXR.Post3.Sentence2	O O O B-SSI O O O O B-AE I-AE I-AE I-AE I-AE I-AE I-AE O
EffexorXR.Post3.Sentence3	O O O O O O O O O O O
EffexorXR.Post3.Sentence4	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
EffexorXR.Post3.Sentence5	O O O
EffexorXR.Post4.Sentence1	O B-AE I-AE I-AE I-AE O O O O O O O O O
EffexorXR.Post4.Sentence2	O O O O O O O O O O O O B-AE I-AE O O O O B-AE I-AE O O O O O B-AE I-AE O
EffexorXR.Post4.Sentence3	O O B-AE I-AE I-AE I-AE O O O O
EffexorXR.Post5.Sentence1	B-AE O B-AE I-AE I-AE O O O O B-SSI O B-SSI O
EffexorXR.Post5.Sentence2	O O O O O B-SSI O
EffexorXR.Post5.Sentence3	O O O O O
EffexorXR.Post5.Sentence4	O O O O O O
EffexorXR.Post5.Sentence5	O O O O O O O O O
EffexorXR.Post5.Sentence6	O O O O O O O O O O O O O O O O O O O O O O O O O O O
EffexorXR.Post5.Sentence7	O O O O O O O
EffexorXR.Post5.Sentence8	O O O O O O O O O O O O O O O O O O
EffexorXR.Post5.Sentence9	O O O O O O O O O O O
EffexorXR.Post6.Sentence1	B-AE O B-AE I-AE O B-AE I-AE O B-AE O B-AE O B-AE I-AE O B-AE O B-AE O O O O O
EffexorXR.Post6.Sentence2	O O O
EffexorXR.Post6.Sentence3	O O O O O O O O O O O O O O O O O O O O O
EffexorXR.Post6.Sentence4	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
EffexorXR.Post6.Sentence5	O O O O O O O O O O O O
EffexorXR.Post6.Sentence6	O O O O O O O O O O O
EffexorXR.Post7.Sentence1	B-AE I-AE I-AE O B-AE O B-AE O O B-AE I-AE O B-AE O B-AE I-AE O
EffexorXR.Post7.Sentence2	O O O O O O O O O O O O O O O O O O O O O O O O O
EffexorXR.Post7.Sentence3	O O O O O O O O O O O O O O O O O O O O
EffexorXR.Post7.Sentence4	O O O O O O O O O O O O O O O O O
EffexorXR.Post7.Sentence5	O O O O O O O O O O O O O O O O O O O O O O O O O O O O
EffexorXR.Post7.Sentence6	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
EffexorXR.Post8.Sentence1	B-AE I-AE I-AE O B-AE I-AE O
EffexorXR.Post8.Sentence2	O O O O O O O O O O O
EffexorXR.Post8.Sentence3	O O O O O O O O O
EffexorXR.Post8.Sentence4	O O O O O B-AE I-AE I-AE O B-AE I-AE I-AE I-AE I-AE I-AE I-AE O
EffexorXR.Post8.Sentence5	B-AE I-AE I-AE I-AE I-AE I-AE O O O O O O B-AE I-AE I-AE I-AE O
EffexorXR.Post8.Sentence6	O O O B-AE I-AE I-AE I-AE O
EffexorXR.Post9.Sentence1	B-AE O B-AE O B-AE I-AE I-AE I-AE O O
EffexorXR.Post9.Sentence2	O O O O O
EffexorXR.Post9.Sentence3	O O O O O O O O
EffexorXR.Post10.Sentence1	B-AE O B-AE B-AE I-AE O B-AE B-AE I-AE I-AE O O O B-AE I-AE I-AE O B-AE I-AE O O O O O O O O O O O O
EffexorXR.Post10.Sentence2	B-AE O B-AE I-AE I-AE B-AE I-AE O B-AE I-AE I-AE B-AE I-AE I-AE O O O O O O O O O O O O
EffexorXR.Post10.Sentence3	O O O O O O O O O O O O O O O O O O O O O O O O O O O O
EffexorXR.Post10.Sentence4	O O O O O O O O O O O O O O O O
EffexorXR.Post10.Sentence5	O O O O O O O O O O O O O O O O O O O
EffexorXR.Post10.Sentence6	O O O O O O O O O O O O O O O O O O O O O
EffexorXR.Post10.Sentence7	O O O O O O O O O O O O
EffexorXR.Post10.Sentence8	O O O O O O
EffexorXR.Post11.Sentence1	O O O O O O O O O O O O
EffexorXR.Post11.Sentence2	O O O O O O O O O O B-SSI O O O O O O O O O B-AE I-AE O B-AE I-AE I-AE I-AE I-AE I-AE I-AE I-AE I-AE I-AE O
EffexorXR.Post11.Sentence3	O O O O O B-SSI O O O O O O O O O O O O O O O O O O O O O O O O O O
EffexorXR.Post11.Sentence4	O O O O O O O O
EffexorXR.Post11.Sentence5	O O O O O O O O O O O O O O O O
EffexorXR.Post11.Sentence6	O O O O O O O O O O O O
EffexorXR.Post11.Sentence7	O O O O O O O O O O O O O O O O O O O O O
EffexorXR.Post11.Sentence8	O O O B-AE O O O O
EffexorXR.Post11.Sentence9	O O O O O O O O O O O O O O O O O
EffexorXR.Post11.Sentence10	O O O O O O O O O O O
EffexorXR.Post11.Sentence11	O O O O O O O O O
EffexorXR.Post12.Sentence1	B-AE I-AE O O O O O O O O O B-AE I-AE I-AE I-AE O B-AE O
EffexorXR.Post12.Sentence2	O O O O O O O O O O B-AE I-AE O
EffexorXR.Post12.Sentence3	B-AE I-AE I-AE I-AE I-AE O
