ID	TAG	ENTITYSTR
EffexorXR.Post1.Sentence3	AE	so mentally ill
EffexorXR.Post1.Sentence5	AE	lost weight considerably
EffexorXR.Post1.Sentence5	AE	shook all the time
EffexorXR.Post1.Sentence6	AE	terrible anxiety the whole time
EffexorXR.Post1.Sentence6	AE	the worst kind of anxiety
EffexorXR.Post1.Sentence8	AE	Tobacco cravings were rampant
EffexorXR.Post1.Sentence9	AE	never felt at ease or comfortable
EffexorXR.Post1.Sentence9	AE	constantly on edge
EffexorXR.Post1.Sentence9	AE	wanted to cry
EffexorXR.Post2.Sentence1	AE	Sleepy
EffexorXR.Post2.Sentence1	AE	constipated
EffexorXR.Post2.Sentence1	AE	unable to orgasm
EffexorXR.Post2.Sentence1	AE	felt "out of body" most of the time
EffexorXR.Post3.Sentence1	AE	Extreme irritability
EffexorXR.Post3.Sentence1	AE	weight gain
EffexorXR.Post3.Sentence1	AE	sleepless
EffexorXR.Post3.Sentence2	AE	not give a rats ass about anything
EffexorXR.Post3.Sentence2	SSI	depression
EffexorXR.Post4.Sentence1	AE	tried to kill myself
EffexorXR.Post4.Sentence2	AE	sleep more
EffexorXR.Post4.Sentence2	AE	more depressed
EffexorXR.Post4.Sentence2	AE	weird behavior
EffexorXR.Post4.Sentence3	AE	tried to hurt myself
EffexorXR.Post5.Sentence1	AE	constipation
EffexorXR.Post5.Sentence1	AE	drastic mood swings
EffexorXR.Post5.Sentence1	SSI	anxiety
EffexorXR.Post5.Sentence1	SSI	panic
EffexorXR.Post5.Sentence2	SSI	depression
EffexorXR.Post6.Sentence1	AE	Apathy
EffexorXR.Post6.Sentence1	AE	memory loss
EffexorXR.Post6.Sentence1	AE	blurred vision
EffexorXR.Post6.Sentence1	AE	insomnia
EffexorXR.Post6.Sentence1	AE	nightmares
EffexorXR.Post6.Sentence1	AE	sexul dysfunction
EffexorXR.Post6.Sentence1	AE	shivers
EffexorXR.Post6.Sentence1	AE	shakes
EffexorXR.Post7.Sentence1	AE	sexual side effects
EffexorXR.Post7.Sentence1	AE	nausea
EffexorXR.Post7.Sentence1	AE	drowsiness
EffexorXR.Post7.Sentence1	AE	brain zaps
EffexorXR.Post7.Sentence1	AE	dizziness
EffexorXR.Post7.Sentence1	AE	weight gain
EffexorXR.Post8.Sentence1	AE	high blood pressure
EffexorXR.Post8.Sentence1	AE	high pulse
EffexorXR.Post8.Sentence4	AE	BP averaged 140/80
EffexorXR.Post8.Sentence4	AE	pulse ranged from 85 to 105-resting rate
EffexorXR.Post8.Sentence5	AE	Lost 7 lbs the 3 months
EffexorXR.Post8.Sentence5	AE	sped up my metabolism
EffexorXR.Post8.Sentence6	AE	added to my anxiety
EffexorXR.Post9.Sentence1	AE	Restlessness
EffexorXR.Post9.Sentence1	AE	anxiety
EffexorXR.Post9.Sentence1	AE	persistent thoughts of death
EffexorXR.Post10.Sentence1	AE	suicidal
EffexorXR.Post10.Sentence1	AE	homicidal
EffexorXR.Post10.Sentence1	AE	hopeless thoughts
EffexorXR.Post10.Sentence1	AE	irrational
EffexorXR.Post10.Sentence1	AE	broke a tooth
EffexorXR.Post10.Sentence1	AE	erratic menstrual periods
EffexorXR.Post10.Sentence1	AE	intense dreams
EffexorXR.Post10.Sentence2	AE	Sleepiness
EffexorXR.Post10.Sentence2	AE	bouts of sleeplessness
EffexorXR.Post10.Sentence2	AE	extreme lethargy
EffexorXR.Post10.Sentence2	AE	diabetes type II
EffexorXR.Post10.Sentence2	AE	high blood pressure
EffexorXR.Post11.Sentence2	AE	hand shakes
EffexorXR.Post11.Sentence2	AE	once in a while my body feels out of sync
EffexorXR.Post11.Sentence2	SSI	anxious
EffexorXR.Post11.Sentence3	SSI	anemia
EffexorXR.Post11.Sentence8	AE	biggest
EffexorXR.Post12.Sentence1	AE	vision problems
EffexorXR.Post12.Sentence1	AE	vibration in my eyes
EffexorXR.Post12.Sentence1	AE	confusion
EffexorXR.Post12.Sentence2	AE	CANNOT DRIVE
EffexorXR.Post12.Sentence3	AE	FEEL NUMB ALL THE TIME
EffexorXR.Post12.Sentence6	SSI	WORRY
EffexorXR.Post12.Sentence6	SSI	ANXIETY
EffexorXR.Post12.Sentence6	SSI	DEPRESSION
EffexorXR.Post13.Sentence1	AE	tired
EffexorXR.Post13.Sentence1	AE	thirsty
EffexorXR.Post14.Sentence1	AE	Complete loss of sexual function
EffexorXR.Post14.Sentence1	AE	personality disorder
EffexorXR.Post14.Sentence1	AE	brain freeze
EffexorXR.Post14.Sentence2	SSI	menopause
EffexorXR.Post14.Sentence5	AE	would hurt myself
EffexorXR.Post15.Sentence2	AE	Wanted to kill myself several times
EffexorXR.Post16.Sentence1	AE	insomnia
EffexorXR.Post16.Sentence1	AE	night sweats
EffexorXR.Post16.Sentence1	AE	dizziness
EffexorXR.Post16.Sentence1	AE	headaches
EffexorXR.Post16.Sentence1	AE	palpitations
EffexorXR.Post16.Sentence1	AE	lower right abdominal pain
EffexorXR.Post16.Sentence2	AE	very itchy
EffexorXR.Post16.Sentence2	AE	shaky
EffexorXR.Post16.Sentence2	AE	miserable
EffexorXR.Post16.Sentence6	AE	Have not slept the whole time
EffexorXR.Post17.Sentence1	AE	Nightmares
EffexorXR.Post17.Sentence1	AE	Dizziness
EffexorXR.Post17.Sentence1	AE	Dry Mouth
EffexorXR.Post17.Sentence1	AE	Suicide thoughts
EffexorXR.Post17.Sentence1	AE	Hot flushes
EffexorXR.Post18.Sentence1	AE	weight gain
EffexorXR.Post18.Sentence1	AE	muscle weakness
EffexorXR.Post18.Sentence1	AE	anxiety
EffexorXR.Post19.Sentence2	AE	problems sleeping
EffexorXR.Post19.Sentence2	AE	crying easily for no reason
EffexorXR.Post19.Sentence5	AE	gained a lot of weight
EffexorXR.Post20.Sentence1	AE	water retention
EffexorXR.Post20.Sentence1	AE	nightmares
EffexorXR.Post20.Sentence1	AE	crying
EffexorXR.Post20.Sentence1	AE	shaking
EffexorXR.Post20.Sentence1	AE	leg twitching
EffexorXR.Post20.Sentence1	AE	 arm twitching
EffexorXR.Post20.Sentence1	AE	blurred vision
EffexorXR.Post20.Sentence1	AE	eye strain
EffexorXR.Post20.Sentence1	AE	think things hapened that really din not
EffexorXR.Post20.Sentence1	AE	believe dreams to be true 
EffexorXR.Post20.Sentence1	AE	crying
EffexorXR.Post20.Sentence1	AE	memory loss
EffexorXR.Post20.Sentence1	AE	confusion
EffexorXR.Post21.Sentence1	AE	Erectile disfunction
EffexorXR.Post21.Sentence1	AE	delayed orgasm
EffexorXR.Post21.Sentence1	AE	lack of libido
EffexorXR.Post21.Sentence2	AE	Feel disconnected from my emotions
EffexorXR.Post21.Sentence2	AE	apathetic
EffexorXR.Post21.Sentence2	AE	no creativity
EffexorXR.Post21.Sentence2	AE	can't focus
EffexorXR.Post21.Sentence2	AE	Extremely tired
EffexorXR.Post21.Sentence2	AE	loss of appetite
EffexorXR.Post21.Sentence2	AE	slight twitching
EffexorXR.Post21.Sentence2	AE	agitated
EffexorXR.Post21.Sentence2	AE	slight abdominal pain
EffexorXR.Post21.Sentence6	SSI	depression
EffexorXR.Post22.Sentence1	AE	Weight gain
EffexorXR.Post22.Sentence1	AE	insomnia
