ID	SENTENCE
EffexorXR.Post1.Sentence1	Total nightmare.
EffexorXR.Post1.Sentence2	This was arguably the worst period of time in my life.
EffexorXR.Post1.Sentence3	It made me so mentally ill I almost ended up in a psych ward.
EffexorXR.Post1.Sentence4	Stay away from this if you can!
EffexorXR.Post1.Sentence5	I lost weight considerably and shook all the time .
EffexorXR.Post1.Sentence6	I had terrible anxiety the whole time , the worst kind of anxiety I've ever experienced.
EffexorXR.Post1.Sentence7	Also tardive diskenesia was becoming very prevalent.
EffexorXR.Post1.Sentence8	Tobacco cravings were rampant .
EffexorXR.Post1.Sentence9	I never felt at ease or comfortable , I was constantly on edge and wanted to cry .
EffexorXR.Post1.Sentence10	Please be careful if you are taking this, o
EffexorXR.Post2.Sentence1	Sleepy , constipated , unable to orgasm , felt "out of body" most of the time .
EffexorXR.Post2.Sentence2	Some improvement in mood but not worth it, at all.
EffexorXR.Post2.Sentence3	Withdrawal is difficult and unpleasant.
EffexorXR.Post2.Sentence4	Would not recommend this drug to anyone.
EffexorXR.Post3.Sentence1	Extreme irritability , weight gain and sleepless are just a few side effects of this horrible drug.
EffexorXR.Post3.Sentence2	Sure it helps depression because it makes you not give a rats ass about anything !
EffexorXR.Post3.Sentence3	I was on 225 mg and have weaned down to 37,5.
EffexorXR.Post3.Sentence4	The only way I can sum it up is to say I wish I could be put to sleep for a month or so while this gets out of my system.
EffexorXR.Post3.Sentence5	Horrible Horrible Horrible
EffexorXR.Post4.Sentence1	I tried to kill myself witch mad no sense since I LOVE MY LIFE!
EffexorXR.Post4.Sentence2	The effexor worked great at first and then slowly i started to sleep more and feel more and more depressed , I also started having weird behavior .
EffexorXR.Post4.Sentence3	I never tried to hurt myself before this drug, o
EffexorXR.Post5.Sentence1	constipation , drastic mood swings , 100% helped my anxiety and panic .
EffexorXR.Post5.Sentence2	didnt do much for the depression .
EffexorXR.Post5.Sentence3	This drug is the devil.
EffexorXR.Post5.Sentence4	Ever try getting off of it?
EffexorXR.Post5.Sentence5	You would think you were going through heroin withdrawals.
EffexorXR.Post5.Sentence6	Im lucky I didnt die b/c I just stopped cold turkey one day and the brain zaps puking and overall feeling you get is like no other.
EffexorXR.Post5.Sentence7	I will never touch an antidepressant again.
EffexorXR.Post5.Sentence8	Just to think that I went through all that physical and mental anguish to get off a drug.
EffexorXR.Post5.Sentence9	it could not be safe to take on a daily basis
EffexorXR.Post6.Sentence1	Apathy , memory loss , blurred vision , insomnia , nightmares , sexul dysfunction , shivers and shakes and the list goes on.
EffexorXR.Post6.Sentence2	Chronic Discontinuation Syndrome.
EffexorXR.Post6.Sentence3	I was told to taper from 75mg to 37mg for 1 week and then 37mg to 0 for the next week.
